STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/15/2019,8.72,,0,0,0,34,57,22,300,300,,19.9,23.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/16/2019,8.95,,0.1,2,0,30,40,16,40,30,,25.1,33.1,1,1,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/17/2019,11.86,,0,0,1.2,22,29,11,40,80,,21,25.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/18/2019,12.3,,0,0,0,14,20,6,110,100,,19.9,23,1,,,,,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/19/2019,8.72,,0.01,0,0,16,20,13,170,170,,16.1,19.9,1,,,,,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/20/2019,10.51,,0,0,0,20,34,6,310,320,,21.9,32,1,,,,,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/21/2019,10.07,,0,0,0,22,33,13,70,70,,19.9,21.9,1,1,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/22/2019,8.5,,0.41,6.8,0,24,28,21,350,350,,16.1,19,1,1,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/23/2019,10.07,,0.05,1.5,7.1,25,35,20,260,260,,25.9,35.1,1,1,,,,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/24/2019,13.42,,0,0,3.1,26,35,10,160,180,,23,29.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/25/2019,9.4,,0,0,3.1,25,41,7,90,80,,18.1,23,1,1,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/26/2019,5.59,,0,0,2,26,46,18,10,20,,16.1,21.9,1,1,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/27/2019,8.95,,0.01,0,1.2,25,27,12,70,70,,16.1,19,1,1,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/28/2019,10.96,,0,0,0,32,50,20,130,130,,21.9,27.1,1,1,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/1/2019,13.2,,0,0,0,38,47,30,50,50,,29.1,35.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/2/2019,13.87,,0.19,3.2,0,28,33,1,200,170,,21.9,27.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/3/2019,5.82,,0.03,1.1,3.1,2,6,-6,70,70,,13,14.1,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/4/2019,4.03,,0,0,3.1,3,15,-5,70,70,,10.1,12.1,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/5/2019,6.93,,0,0,2,12,33,-1,110,110,,14.1,16.1,1,,,,,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/6/2019,6.04,,0.11,0,1.2,25,36,17,130,20,,14.1,17,1,,,1,,1,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/7/2019,5.59,,0,0,0,32,51,22,150,150,,16.1,19,1,1,,,,1,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/8/2019,8.5,,0.03,0,0,39,53,28,300,290,,21.9,30,1,,,,,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/9/2019,11.63,,0,0,0,40,48,27,280,270,,28,36.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/10/2019,11.18,,0,0,0,36,52,23,190,200,,25.1,35.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/11/2019,6.71,,0,0,0,38,54,29,350,350,,18.1,21.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/12/2019,6.93,,0,0,0,43,60,32,350,350,,16.1,19.9,,,,,,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/13/2019,32.88,,0.64,7.1,0,39,43,26,340,340,,59.9,80.1,1,1,,,,,,1,1,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/14/2019,19.24,,0,0,7.1,28,32,14,350,320,,35.1,45,,,,,,,,1,1,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/15/2019,12.97,,0,0,3.1,25,39,14,170,170,,21,23.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/16/2019,9.62,,0,0,2,32,42,24,80,80,,15,19.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/17/2019,7.83,,0,0,0,35,49,26,110,110,,13,16.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/18/2019,8.5,,0,0,0,36,46,28,140,340,,16.1,19,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/19/2019,10.07,,0,0,0,39,46,27,340,30,,23.9,40,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/20/2019,8.72,,0,0,0,38,57,27,220,210,,15,19,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/21/2019,13.65,,0,0,0,45,60,30,160,160,,32,40,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/22/2019,10.51,,0.12,0,0,44,55,33,20,10,,30,36,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/23/2019,9.84,,0,0,0,39,45,31,20,20,,21.9,28,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/24/2019,7.83,,0.11,0,0,40,57,25,290,80,,21.9,28,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/25/2019,7.61,,0,0,0,41,56,31,170,60,,14.1,18.1,1,1,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/26/2019,10.07,,0,0,0,47,71,32,60,60,,21,25.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/27/2019,10.74,,0,0,0,57,73,44,90,80,,23.9,32,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/28/2019,10.51,,0,0,0,53,60,36,60,70,,23,28,1,1,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/29/2019,10.74,,0.13,1,0,38,42,31,20,20,,25.9,33.1,1,1,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/30/2019,7.83,,0.03,0.5,1.2,32,38,28,10,360,,23,29.1,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",3/31/2019,7.83,,0,0,0,35,49,25,180,170,,17,21,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/1/2019,10.74,,0,0,0,42,58,29,290,340,,19.9,29.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/2/2019,6.26,,0,0,0,42,55,32,320,10,,16.1,19.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/3/2019,5.82,,0,0,0,48,61,36,130,120,,17,21.9,1,,,,,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/4/2019,7.61,,0,0,0,49,66,35,50,20,,14.1,18.1,1,,,,,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/5/2019,9.62,,0,0,0,55,70,41,340,350,,23.9,31.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/6/2019,7.16,,0,0,0,56,69,44,340,320,,25.9,36,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/7/2019,9.62,,0,0,0,55,71,33,310,290,,23.9,32,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/8/2019,10.51,,0,0,0,60,76,38,310,310,,28,40,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/9/2019,12.97,,0,0,0,62,78,47,80,80,,21,28,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/10/2019,18.57,,0.15,2.2,0,46,56,17,350,360,,32,40.9,1,1,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/11/2019,8.95,,0.05,0.3,3.1,23,35,17,10,360,,23,30,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/12/2019,9.84,,0.01,0,0,29,41,23,110,100,,19.9,23,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/13/2019,7.61,,0.03,0,0,34,46,27,100,110,,19.9,23,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/14/2019,11.41,,0,0,0,43,66,28,310,280,,32,42.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/15/2019,11.41,,0,0,0,57,71,39,80,70,,23.9,33.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/16/2019,8.05,,0,0,0,52,69,34,320,320,,23.9,31.1,,,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/17/2019,9.84,,0.04,0,0,51,61,36,30,30,,28,34,,,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/18/2019,10.51,,0,0,0,49,62,36,360,20,,36,47,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/19/2019,9.62,,0,0,0,51,72,30,200,80,,21,30,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/20/2019,10.51,,0,0,0,63,80,48,220,230,,29.1,36.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/21/2019,11.86,,0.82,0,0,60,70,44,310,310,,44.1,52.1,,,1,,1,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/22/2019,8.05,,0.01,0,0,44,46,40,30,40,,18.1,21.9,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/23/2019,6.93,,0,0,0,49,64,42,210,230,,13,16.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/24/2019,8.5,,0,0,0,57,72,44,200,80,,14.1,19,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/25/2019,10.96,,0,0,0,55,63,42,10,350,,36,46.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/26/2019,10.51,,0,0,0,56,77,43,280,280,,40,53,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/27/2019,16.11,,0,0,0,55,67,39,160,160,,36,45,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/28/2019,20.8,,0,0,0,61,78,41,290,280,,40,55,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/29/2019,10.29,,0.07,1,0,40,42,30,30,30,,23,27.1,1,1,,,,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",4/30/2019,8.28,,0.07,0,1.2,34,39,32,340,150,,19.9,23.9,1,1,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/1/2019,11.41,,0.04,0,0,38,47,30,10,10,,23,29.1,1,1,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/2/2019,9.17,,0,0,0,44,64,31,280,270,,29.1,38.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/3/2019,8.5,,0,0,0,52,67,34,130,180,,18.1,23.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/4/2019,7.61,,0,0,0,56,72,41,320,330,,21,28,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/5/2019,9.17,,0,0,0,60,74,44,310,310,,31.1,42.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/6/2019,9.4,,0.03,0,0,58,70,46,110,90,,23.9,30,1,1,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/7/2019,12.3,,0.5,0,0,50,57,44,300,290,,29.1,36.9,1,1,1,,,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/8/2019,14.32,,0.26,0,0,44,51,33,20,350,,23.9,31.1,1,1,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/9/2019,11.41,,0.14,0.2,0,35,40,31,140,150,,17,21.9,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/10/2019,6.26,,0,0,0,42,56,31,210,20,,17,21.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/11/2019,10.96,,0.02,0,0,50,62,38,40,40,,29.1,36,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/12/2019,8.5,,0,0,0,52,72,38,320,30,,17,25.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/13/2019,8.28,,0,0,0,62,78,47,180,310,,17,23,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/14/2019,9.62,,0,0,0,64,80,49,10,40,,19.9,31.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/15/2019,7.83,,0,0,0,65,83,50,230,210,,17,23,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/16/2019,11.86,,0,0,0,68,81,54,150,150,,31.1,40,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/17/2019,12.3,,0.03,0,0,62,74,40,310,310,,35.1,50.1,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/18/2019,8.95,,0.03,0,0,49,62,37,290,290,,25.1,33.1,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/19/2019,11.18,,0.01,0,0,46,59,37,300,70,,19.9,27.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/20/2019,9.62,,1.07,3,0,41,44,32,50,50,,18.1,23,1,1,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/21/2019,10.74,,0.1,0.7,3.1,33,39,31,360,360,,17,21.9,1,1,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/22/2019,7.61,,0,0,0,39,51,30,40,10,,15,21,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/23/2019,7.38,,0,0,0,43,46,34,120,120,,16.1,19.9,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/24/2019,10.51,,0,0,0,50,71,34,320,240,,17,23,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/25/2019,13.42,,0,0,0,58,74,42,130,100,,23.9,36,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/26/2019,10.29,,0.65,0,0,59,76,46,280,270,,31.1,44.1,1,1,1,,1,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/27/2019,14.32,,0,0,0,56,69,45,240,240,,32,34,,,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/28/2019,11.41,,0.34,0,0,51,59,41,310,340,,29.1,38,1,,1,,1,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/29/2019,9.17,,0.01,0,0,47,60,40,60,20,,16.1,25.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/30/2019,7.61,,0,0,0,53,68,42,210,190,,16.1,19.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",5/31/2019,8.5,,0,0,0,61,76,44,360,350,,23.9,36.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/1/2019,9.84,,0,0,0,60,73,49,130,180,,21.9,28,,,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/2/2019,11.86,,0,0,0,63,81,49,180,200,,42.9,55.9,,,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/3/2019,9.62,,0.09,0,0,63,82,50,140,110,,25.9,38,,,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/4/2019,9.62,,0,0,0,63,78,50,280,270,,21.9,31.1,,,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/5/2019,8.28,,0,0,0,63,78,50,300,290,,21,27.1,,,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/6/2019,10.51,,0,0,0,66,81,54,180,190,,17,23.9,,,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/7/2019,9.4,,0.15,0,0,70,86,55,250,260,,29.1,36.9,,,1,,,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/8/2019,14.32,,0.09,0,0,66,78,47,20,20,,30,42.1,,,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/9/2019,6.71,,0,0,0,53,63,42,30,20,,21,28,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/10/2019,12.3,,0,0,0,58,78,42,200,150,,23.9,32,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/11/2019,9.62,,0,0,0,65,78,49,30,40,,23,32,,,,,,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/12/2019,7.16,,0,0,0,61,73,53,80,160,,15,19.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/13/2019,9.62,,0,0,0,66,86,49,30,250,,29.1,38.9,,,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/14/2019,10.96,,0,0,0,72,85,58,30,250,,21.9,30,,,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/15/2019,9.62,,0.02,0,0,66,79,50,200,20,,21,27.1,,,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/16/2019,6.71,,0.01,0,0,65,83,49,200,200,,35.1,42.9,,,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/17/2019,6.93,,0.08,0,0,62,75,49,290,280,,28,36.9,1,1,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/18/2019,8.28,,0.97,0,0,61,71,51,340,340,,38,53.9,1,,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/19/2019,7.83,,0,0,0,63,83,50,280,280,,19.9,25.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/20/2019,9.84,,0.36,0,0,69,82,53,310,230,,23.9,36.9,,,1,,1,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/21/2019,10.29,,0.15,0,0,61,67,49,50,50,,25.1,35.1,1,,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/22/2019,9.62,,0.21,0,0,53,65,45,330,320,,23,31.1,1,,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/23/2019,8.5,,0.01,0,0,53,65,44,350,350,,29.1,38,1,,1,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",6/24/2019,9.4,,0,0,0,63,80,50,290,300,,21.9,31.1,,,,,,,,,,
